genus,family,order,group,accepted_bin,mono_fern
Abies,Pinaceae,Pinales,Gymnosperms,Abies bracteata,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies cephalonica,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies chensiensis,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies cilicica,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies concolor,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies delavayi,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies densa,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies durangensis,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies fabri,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies fanjingshanensis,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies fargesii,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies firma,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies forrestii,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies fraseri,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies grandis,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies guatemalensis,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies hickelii,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies hidalgensis,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies holophylla,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies homolepis,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies kawakamii,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies koreana,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies lasiocarpa,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies magnifica,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies mariesii,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies nebrodensis,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies nephrolepis,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies nordmanniana,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies numidica,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies pindrow,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies pinsapo,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies procera,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies recurvata,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies religiosa,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies sachalinensis,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies sibirica,FALSE
Picea,Pinaceae,Pinales,Gymnosperms,Picea smithiana,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies spectabilis,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies squamata,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies veitchii,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies vejarii,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies yuanbaoshanensis,FALSE
Abies,Pinaceae,Pinales,Gymnosperms,Abies ziyuanensis,FALSE
Picea,Pinaceae,Pinales,Gymnosperms,Picea alcoquiana,FALSE
Picea,Pinaceae,Pinales,Gymnosperms,Picea glauca,FALSE
Cunninghamia,Cupressaceae,Pinales,Gymnosperms,Cunninghamia lanceolata,FALSE
Picea,Pinaceae,Pinales,Gymnosperms,Picea abies,FALSE
Tsuga,Pinaceae,Pinales,Gymnosperms,Tsuga dumosa,FALSE
Picea,Pinaceae,Pinales,Gymnosperms,Picea mariana,FALSE
Pseudotsuga,Pinaceae,Pinales,Gymnosperms,Pseudotsuga menziesii,FALSE
Picea,Pinaceae,Pinales,Gymnosperms,Picea maximowiczii,FALSE
Picea,Pinaceae,Pinales,Gymnosperms,Picea torano,FALSE
Tsuga,Pinaceae,Pinales,Gymnosperms,Tsuga mertensiana,FALSE
Picea,Pinaceae,Pinales,Gymnosperms,Picea orientalis,FALSE
Abrahamia,Anacardiaceae,Sapindales,Angiosperms,Abrahamia deflexa,FALSE
Abrahamia,Anacardiaceae,Sapindales,Angiosperms,Abrahamia ditimena,FALSE
Abrahamia,Anacardiaceae,Sapindales,Angiosperms,Abrahamia grandidieri,FALSE
Abrahamia,Anacardiaceae,Sapindales,Angiosperms,Abrahamia humbertii,FALSE
Abrahamia,Anacardiaceae,Sapindales,Angiosperms,Abrahamia latifolia,FALSE
Abrahamia,Anacardiaceae,Sapindales,Angiosperms,Abrahamia lecomtei,FALSE
Abrahamia,Anacardiaceae,Sapindales,Angiosperms,Abrahamia louvelii,FALSE
Abrahamia,Anacardiaceae,Sapindales,Angiosperms,Abrahamia oblongifolia,FALSE
Abrahamia,Anacardiaceae,Sapindales,Angiosperms,Abrahamia sericea,FALSE
Abrahamia,Anacardiaceae,Sapindales,Angiosperms,Abrahamia thouvenotii,FALSE
Abrahamia,Anacardiaceae,Sapindales,Angiosperms,Abrahamia viguieri,FALSE
Abroma,Malvaceae,Malvales,Angiosperms,Abroma augusta,FALSE
Abuta,Menispermaceae,Ranunculales,Angiosperms,Abuta grandifolia,FALSE
Abuta,Menispermaceae,Ranunculales,Angiosperms,Abuta imene,FALSE
Abuta,Menispermaceae,Ranunculales,Angiosperms,Abuta panurensis,FALSE
Abuta,Menispermaceae,Ranunculales,Angiosperms,Abuta rufescens,FALSE
Abuta,Menispermaceae,Ranunculales,Angiosperms,Abuta sandwithiana,FALSE
Abuta,Menispermaceae,Ranunculales,Angiosperms,Abuta velutina,FALSE
Abutilon,Malvaceae,Malvales,Angiosperms,Abutilon giganteum,FALSE
Abutilon,Malvaceae,Malvales,Angiosperms,Abutilon grandidentatum,FALSE
Abutilon,Malvaceae,Malvales,Angiosperms,Abutilon haenkeanum,FALSE
Abutilon,Malvaceae,Malvales,Angiosperms,Abutilon herzogianum,FALSE
Abutilon,Malvaceae,Malvales,Angiosperms,Abutilon incanum,FALSE
Abutilon,Malvaceae,Malvales,Angiosperms,Abutilon leonardii,FALSE
Abutilon,Malvaceae,Malvales,Angiosperms,Abutilon peruvianum,FALSE
Abutilon,Malvaceae,Malvales,Angiosperms,Abutilon pictum,FALSE
Abutilon,Malvaceae,Malvales,Angiosperms,Abutilon purpusii,FALSE
Abutilon,Malvaceae,Malvales,Angiosperms,Abutilon pyramidale,FALSE
Abutilon,Malvaceae,Malvales,Angiosperms,Abutilon sachetianum,FALSE
Abutilon,Malvaceae,Malvales,Angiosperms,Abutilon sylvaticum,FALSE
Abutilon,Malvaceae,Malvales,Angiosperms,Abutilon stenopetalum,FALSE
