accepted_bin,Bark thickness,Leaf K per mass,Leaf N per mass,Leaf P per mass,Leaf Vcmax per dry mass,Leaf area,Leaf density,Leaf thickness,Seed dry mass,Specific leaf area,Stem conduit diameter,Stomatal conductance,Wood density
Breonia decaryana,1.2438769753901335,1.8704367909564188,2.8498667517872813,-0.16239076941546493,-1.2280791493379466,7.305882880206773,-0.8387110336133943,-1.5121738356404704,4.098442318093341,2.2127333594928116,3.2048926278375545,4.995640905250483,-0.2045564044100139
Breonia macrocarpa,1.9198844169299472,2.1134514521601413,2.9257455781666564,0.16015470880915866,-1.1150992063992102,8.734798253867478,-1.0256175760038948,-1.3979391219848007,3.8935869317920493,2.458036287887444,3.0481578725586456,5.151955695270304,-0.8303656034108254
Breonia madagascariensis,1.3218469130367312,2.0652688029672466,2.891506073212215,-0.16028362566125717,-1.3690443704642647,8.535623900696418,-1.00460692205326,-1.4965563465366158,4.17066557978825,2.3632773885844287,3.166853570232848,5.000993075514454,-0.3458876381285986
Breonia perrieri,1.3065993571243348,1.735435499057914,2.8349445917219636,-0.2864701937354338,-1.4167808325277065,8.012808837584101,-0.9028943285809959,-1.5733991037987487,0.7793248768009977,2.4862481946956434,2.9895574725824217,4.9880611154196925,-0.2685232144220786
Bretschneidera sinensis,1.8724186730452483,2.041688879453664,2.95146183172127,0.03475115765645201,-1.3909965356112866,7.782679433115818,-0.9924216795328771,-1.571064444919012,4.122770477359184,2.3611256497322466,2.8982415556304573,4.856974416652674,-0.6217571844732723
Breviea sericea,1.9122020310665817,2.036011773081622,2.9789251308675397,0.33628183490124763,-1.0994613088227014,8.376206515709764,-1.210984949838737,-1.4566451268473357,4.713877411907025,2.569828485612955,3.1670108906300674,5.042276234223924,-0.7377673351128835
Brexia madagascariensis,2.4293294890800894,2.3272494884958976,2.934256069811355,0.13935375337377892,-0.8732401078829221,7.463838226115827,-1.0748132614031969,-1.551715262106945,2.930660276810276,2.290571007966273,3.265917600393434,5.132460385677441,-0.5432398925468745
Breynia cernua,-0.2876820724517809,2.586502871852707,2.798473042892145,0.1708367232215981,-1.0881250205571387,7.464604699211074,-1.0220506874296162,-1.5602742162856786,1.9600947840472696,2.4045527103605675,3.0050636712919974,5.079586429300681,-0.4122202799941816
Breynia racemosa,1.4427351969279747,1.8578592709325816,2.918075461989246,0.05705415129440033,-1.2469914904444996,7.970401008074899,-0.926098056936594,-1.54328691306174,4.017294742681471,2.480079562436591,3.056044223544136,5.102164651682424,-0.5581122596536588
Breynia vitis-idaea,1.3629447792348366,2.653241964607215,2.7775687754652325,0.10592234683877468,-1.5899136535212783,5.47253830448638,-0.9020182186228406,-1.0866850337883627,0.0953101798043249,1.1820338968071822,2.908482162343917,4.775866479015506,-0.4678827140941254
Bridelia balansae,1.301630077269021,2.166388105519841,2.983025872808524,-0.026119208840881945,-1.2797042059469883,8.695703912672116,-0.9439742194815809,-1.5232684279848716,4.665206714284248,2.5937121049735268,3.2258918458888526,4.877832871636981,-0.5082752455302608
Bridelia cathartica,1.2566705485403817,2.4683622800381,3.2636889966396088,0.0953101798043249,-1.3917495748368263,7.661395978622548,-0.8943607968114179,-1.5523395001827287,4.700480365792417,1.1019400787607845,3.0547620095310157,4.5984250714822545,-0.5392401357686094
Bridelia exaltata,1.2632711134232366,1.9397315455846231,2.875227243038121,-0.18152238326218972,-1.2023977612518515,8.447361831181631,-0.8499627239371291,-1.6322793801609523,5.07832797511337,2.458229806106108,3.313232228889226,5.141723611124303,-0.3858979969827513
Bridelia ferruginea,1.0487098086821685,1.7600824971897844,2.768370310929195,-0.2302578464360896,-1.3808132247596991,8.543739501911821,-0.9044771076826726,-1.5351484005551859,3.982481469076708,2.42082172212794,3.169513837596051,4.724108374787891,-0.5461731402506906
Bridelia glauca,2.2104546529769715,2.037970959760861,2.923409924697987,0.248701930414109,-0.9581191786494716,8.742750640492314,-0.9999551760715731,-1.6917248117645587,4.398368459088372,2.6647250763638364,3.321778227303307,5.310206607037268,-0.8220146786018597
Bridelia grandis,1.687637111309116,2.131679970113494,2.939817875827712,0.1887847273174547,-1.2642267763945128,7.948584944600161,-0.9523812034292473,-1.4614895994233335,4.053378661061073,2.413290254396543,2.9494710577207717,5.108773180707911,-0.6479775186970061
Bridelia insulana,1.5242643247031882,2.553261511220233,3.273742726309041,0.5187937934151675,-0.7200654584469551,8.656622375800954,-1.114232558385319,-1.5989354871663086,3.7000411297150686,2.724691937181836,3.2327739320728086,5.230805780764553,-0.688753767292167
Bridelia micrantha,1.6711468759403847,2.163925855681042,3.1105626225905327,-0.004238544683163907,-1.3439330155487015,8.10122733906095,-1.0188540050678783,-1.4696759700589417,4.206478825477231,2.6067444702795486,3.1296861713064277,4.69440488088385,-0.5953030340824158
Bridelia mollis,1.6923933202913435,2.389544480159923,2.995270171480686,0.043846295469480316,-1.0094866344824462,8.273728025458208,-0.944680153188067,-1.6456310240140153,5.08431936689353,2.545068629431039,3.336617504800351,5.016272957598468,-0.5567475551957273
Bridelia ndellensis,1.721450726679947,1.8242147990059074,2.9231839377840463,0.028930964932284926,-1.3050615277401438,7.755284817713238,-1.0058863322044724,-1.4446434130304504,4.7113899025791435,2.469244795385796,2.9071453474994606,4.9450576342832635,-0.5989318715297346
Bridelia ovata,1.407972622698471,3.152736022363664,2.891938125723182,0.015417347463169244,-1.2029122457599313,8.238628709579777,-1.102460401598766,-1.4445063639680145,4.64768679436313,2.5098129800125974,3.1468208601856476,4.897666504615829,-0.5108256237659907
Bridelia pervilleana,1.7755337674746121,2.300238891846363,3.022662225635943,0.3062570872000532,-1.0292297774757118,8.030976678835263,-0.9064704792326641,-1.7129636437693903,3.682358237123671,2.5082629134123953,3.155798407397538,5.311457031532549,-0.49933405161240835
Bridelia retusa,1.4430141472145877,2.2770717805705063,2.923951604609088,0.3397771072986655,-1.17883345149167,6.5301902388730335,-0.9974959719873997,-1.5705605611523434,4.37449836825309,2.5396067843977743,3.1796528016521046,4.915951438860242,-0.5133653966376399
Bridelia scleroneura,1.5600280325479545,2.326973518948012,3.0286490956201737,0.12198591483600957,-0.958493383162643,8.055273970434355,-0.9950278727076632,-1.7118716703275794,5.008833672149628,2.5212663587794486,3.281904520906179,5.104483811380863,-0.4963313404463455
